"Player","Team","Number","Position","Birthdate","College","Year"
"Barret Robbins","Oakland Raiders","--","C","1973-08-26","Texas Christian","1998"
"Mark McMillian","Kansas City Chiefs","--","DB","1970-04-29","Alabama","1998"
"Rob Kelly","New Orleans Saints","--","DB","1974-06-21","Ohio State","1998"
"Mike Morris","Minnesota Vikings","--","C","1961-02-22","Northeast Missouri State","1998"
"Moses Moreno","Chicago Bears","--","QB","1975-09-05","Colorado State","1998"
"Curtis Buckley","New York Giants","--","DB","1970-09-25","East Texas State","1998"
"Darius Holland","Kansas City Chiefs","--","DT","1973-11-10","Colorado","1998"
"Jon Clark","Arizona Cardinals","--","OT","1973-04-11","Temple","1998"
"Brian Habib","Seattle Seahawks","--","OG","1964-12-02","Washington","1998"
"Troy Drake","Washington Redskins","--","OT","1972-05-15","Indiana","1998"
"Willie McGinest","New England Patriots","--","DE","1971-12-11","Southern California","1998"
"Oronde Gadsden","Miami Dolphins","--","WR","1971-08-20","Winston-Salem State","1998"
"Terry McDaniel","Seattle Seahawks","--","DB","1965-02-08","Tennessee","1998"
"Jeff Blake","Cincinnati Bengals","--","QB","1970-12-04","East Carolina","1998"
"Charles Haley","San Francisco 49ers","--","DE","1964-01-06","James Madison","1998"
"Jim Harbaugh","Baltimore Ravens","--","QB","1963-12-23","Michigan","1998"
"Darick Holmes","Buffalo Bills","--","RB","1971-07-01","Portland State","1998"
"Dusty Zeigler","Buffalo Bills","--","C","1973-09-27","Notre Dame","1998"
"Dixon Edwards","Minnesota Vikings","--","LB","1968-03-25","Michigan State","1998"
"Aaron Taylor","San Diego Chargers","--","OG","1972-11-14","Notre Dame","1998"
"Wayne Martin","New Orleans Saints","--","DT","1965-10-26","Arkansas","1998"
"Allen Aldridge","Detroit Lions","--","LB","1972-05-30","Houston","1998"
"Shar Pourdanesh","Washington Redskins","--","OT","1970-07-19","Nevada","1998"
"Chris Mims","San Diego Chargers","--","DT","1970-09-29","Tennessee","1998"
"Tommy Bennett","Arizona Cardinals","--","DB","1973-02-19","UCLA","1998"
"Pat Terrell","Green Bay Packers","--","DB","1968-03-18","Notre Dame","1998"
"Bill Johnson","Philadelphia Eagles","--","DT","1968-12-09","Michigan State","1998"
"Kenny Shedd","Oakland Raiders","--","WR","1971-02-14","Northern Iowa","1998"
"Lamar Campbell","Detroit Lions","--","DB","1976-08-29","Wisconsin","1998"
"Heath Irwin","New England Patriots","--","OG","1973-06-27","Colorado","1998"
"James Farrior","New York Jets","--","LB","1975-01-06","Virginia","1998"
"Hines Ward","Pittsburgh Steelers","--","WR","1976-03-08","Georgia","1998"
"Reggie Tongue","Kansas City Chiefs","--","DB","1973-04-11","Oregon State","1998"
"Santana Dotson","Green Bay Packers","--","DT","1969-12-19","Baylor","1998"
"Michael Myers","Dallas Cowboys","--","DT","1976-01-20","Alabama","1998"
"Brian Dawkins","Philadelphia Eagles","--","DB","1973-10-13","Clemson","1998"
"Lonnie Palelei","New York Giants","--","OT","1970-10-15","Nevada-Las Vegas","1998"
"Corey Widmer","New York Giants","--","LB","1968-12-25","Montana State","1998"
"Ernest Jones","Denver Broncos","--","LB","1971-04-01","Oregon","1998"
